processor_name,passmark,rank,value,price
AMD Athlon II X2 255,1841,1770,28.23,$65.22*
AMD Athlon II X2 260,1874,1753,93.76,$19.99*
AMD Athlon II X2 260u,1107,2151,13.28,$83.44*
AMD Athlon II X2 265,1890,1746,22.81,$82.88*
AMD Athlon II X2 270,1978,1699,82.46,$23.99*
AMD Athlon II X2 270u,1350,2010,19.96,$67.67*
AMD Athlon II X2 280,2129,1633,21.3,$99.99*
AMD Athlon II X2 4300e,1350,2009,,
AMD Athlon II X2 4400e,1632,1882,,
AMD Athlon II X2 4450e,1504,1941,,
AMD Athlon II X2 B22,1711,1829,41.05,$41.69*
AMD Athlon II X2 B24,1777,1795,44.5,$39.95
AMD Athlon II X2 B26,1904,1734,54.5,$34.95
AMD Athlon II X2 B28,2085,1655,42.52,$49.05*
AMD Athlon II X3 400e,2009,1686,18.7,$107.43*
AMD Athlon II X3 405e,2000,1687,25.0,$79.99*
AMD Athlon II X3 415e,2247,1590,29.97,$75.00*
AMD Athlon II X3 420e,2285,1568,19.68,$116.15*
AMD Athlon II X3 425,2318,1554,85.9,$26.99*
AMD Athlon II X3 425e,2239,1595,,
AMD Athlon II X3 435,2472,1502,82.44,$29.99*
AMD Athlon II X3 440,2566,1465,95.1,$26.99*
AMD Athlon II X3 445,2572,1463,28.26,$91.00*
AMD Athlon II X3 450,2621,1443,68.98,$38.01
AMD Athlon II X3 455,2767,1399,70.98,$38.99*
AMD Athlon II X3 460,2863,1369,73.45,$38.99*
AMD Athlon II X4 553,3814,1089,,
AMD Athlon II X4 555,3830,1084,,
AMD Athlon II X4 559,4135,1023,,
AMD Athlon II X4 600e,2453,1507,18.84,$130.23*
AMD Athlon II X4 605e,2738,1412,26.9,$101.80*
AMD Athlon II X4 610e,2790,1392,39.87,$69.99*
AMD Athlon II X4 615e,2901,1361,49.17,$59.00*
AMD Athlon II X4 620,2929,1345,41.86,$69.99*
AMD Athlon II X4 620e,2906,1358,,
AMD Athlon II X4 630,3132,1276,49.76,$62.95
AMD Athlon II X4 631 Quad-Core,3152,1272,39.41,$80.00*
AMD Athlon II X4 635,3235,1239,46.25,$69.95*
AMD Athlon II X4 638 Quad-Core,3198,1249,120.73,$26.49*
AMD Athlon II X4 640,3314,1218,41.45,$79.95
AMD Athlon II X4 6400e,2594,1452,,
AMD Athlon II X4 641 Quad-Core,3345,1210,36.56,$91.50*
AMD Athlon II X4 645,3469,1176,43.4,$79.95
AMD Athlon II X4 650,3482,1174,20.9,$166.60*
AMD Athlon II X4 651 Quad-Core,3576,1148,20.09,$178.04*
AMD Athlon II X4 655,2998,1321,,
AMD Athlon L110,303,2700,,
AMD Athlon LE-1600,557,2446,26.57,$21.00*
AMD Athlon LE-1620,578,2436,32.12,$18.00*
AMD Athlon LE-1640,627,2410,,
AMD Athlon LE-1660,679,2386,,
AMD Athlon MP,230,2801,4.2,$54.95*
AMD Athlon MP 1700+,339,2662,,
AMD Athlon MP 2400+,436,2552,,
AMD Athlon MP 2800+,497,2486,,
AMD Athlon Neo MV-40,410,2574,,
AMD Athlon Neo X2 Dual Core 6850e,1002,2210,,
AMD Athlon Neo X2 Dual Core L325,776,2338,,
AMD Athlon Neo X2 Dual Core L335,828,2316,,
AMD Athlon PRO 200GE,5204,809,,
AMD Athlon QI-46,473,2510,,
AMD Athlon TF-20,413,2571,,
AMD Athlon TF-36,395,2599,,
AMD Athlon X2 215,1543,1920,,
AMD Athlon X2 235e,1806,1785,,
AMD Athlon X2 240,1602,1897,,
AMD Athlon X2 240e,1670,1857,,
AMD Athlon X2 250,1696,1843,,
AMD Athlon X2 255,1627,1886,,
AMD Athlon X2 280,2303,1561,68.77,$33.49*
AMD Athlon X2 340 Dual Core,1910,1733,38.22,$49.99*
AMD Athlon X2 370K Dual Core,2251,1588,,
AMD Athlon X2 440,1424,1975,,
AMD Athlon X2 Dual Core 3250e,783,2337,,
AMD Athlon X2 Dual Core 6850e,998,2214,,
AMD Athlon X2 Dual Core BE-2300,920,2273,,
AMD Athlon X2 Dual Core BE-2350,1109,2148,,
AMD Athlon X2 Dual Core BE-2400,1213,2089,,
AMD Athlon X2 Dual Core BE-2450,1251,2070,,
AMD Athlon X2 Dual Core L310,644,2401,,
AMD Athlon X2 Dual Core LS-5800,1009,2205,,
AMD Athlon X3 425,2191,1613,,
AMD Athlon X3 435,2574,1461,26.96,$95.49*
AMD Athlon X3 440,2078,1658,23.62,$87.99*
AMD Athlon X3 445,2314,1556,,
AMD Athlon X3 450,3064,1299,38.8,$78.99*
AMD Athlon X3 455,2401,1526,,
AMD Athlon X4 605e,2505,1490,,
AMD Athlon X4 620,2861,1370,47.74,$59.95
AMD Athlon X4 635,2891,1364,23.71,$121.99*
AMD Athlon X4 640,3172,1260,,
AMD Athlon X4 740 Quad Core,4017,1041,14.51,$277.00*
AMD Athlon X4 750 Quad Core,4551,937,,
AMD Athlon X4 750K Quad Core,4254,999,55.26,$76.99*
AMD Athlon X4 760K Quad Core,4593,930,109.41,$41.98*
AMD Athlon X4 830,4701,906,,
AMD Athlon X4 840,5046,842,64.09,$78.74*
AMD Athlon X4 845,5399,781,101.63,$53.13*
AMD Athlon X4 860K,5416,776,40.14,$134.95
AMD Athlon X4 870K,5296,799,66.22,$79.99*
AMD Athlon X4 880K,5545,758,55.46,$99.99*
AMD Athlon X4 950,5249,804,82.55,$63.59
AMD Athlon XP 1500,282,2741,,
AMD Athlon XP 1500+,257,2772,,
AMD Athlon XP 1600+,267,2762,,
AMD Athlon XP 1700,344,2658,,
AMD Athlon XP 1700+,271,2758,4.43,$61.25*
AMD Athlon XP 1800+,300,2707,5.1,$58.95*
AMD Athlon XP 1900+,312,2691,,
AMD Athlon XP 2000+,299,2708,12.0,$24.99*
AMD Athlon XP 2100+,323,2674,,
AMD Athlon XP 2200+,328,2673,3.87,$84.95*
AMD Athlon XP 2300+,464,2518,,
AMD Athlon XP 2400+,360,2641,4.01,$89.99*
AMD Athlon XP 2500+,355,2645,,
AMD Athlon XP 2600+,372,2625,16.18,$23.03*
AMD Athlon XP 2700+,393,2602,4.64,$84.79*
AMD Athlon XP 2800+,400,2592,,
AMD Athlon XP 2900+,424,2566,,
AMD Athlon XP 3000+,402,2588,5.06,$79.70*
AMD Athlon XP 3100+,433,2556,,
AMD Athlon XP 3200+,431,2558,,
AMD Athlon XP 3400+,570,2442,,
AMD Athlon XP Pro3+,367,2633,,
AMD Athlon XP-M,541,2455,15.48,$34.95*
AMD Athlon XP1600+,281,2742,,
AMD Athlon XP1900+,353,2648,,
AMD Athlon XP2100+,287,2732,,
AMD Athlon XP2200+,401,2590,,
AMD Athlon XP2400+,374,2620,,
AMD Athlon64 X2 Dual Core 4600+,1108,2150,,
AMD C-30,310,2693,,
AMD C-50,462,2521,,
AMD C-60,466,2515,,
AMD C-60 APU,543,2452,,
AMD C-70 APU,556,2447,,
AMD E-240,319,2680,,
AMD E-300 APU,610,2417,,
AMD E-350,746,2354,,
AMD E-350 APU,757,2348,,
AMD E-350D APU,726,2361,,
AMD E-450 APU,766,2342,,
AMD E1 Micro-6200T APU,960,2243,,
AMD E1-1200 APU,655,2397,,
AMD E1-1500 APU,688,2380,,
AMD E1-2100 APU,641,2404,,
AMD E1-2200 APU,767,2341,,
AMD E1-2500 APU,889,2289,,
AMD E1-6010 APU,864,2296,,
AMD E1-6015 APU,896,2287,,
AMD E1-7010 APU,1002,2211,,
AMD E2-1800 APU,816,2320,,
AMD E2-2000 APU,825,2317,,
AMD E2-3000 APU,1105,2154,,
AMD E2-3000M APU,1096,2157,54.84,$20.00*
AMD E2-3200 APU,1386,1988,173.59,$7.99*
AMD E2-3800 APU,1643,1872,,
AMD E2-6110 APU,1915,1729,,
AMD E2-7110 APU,2285,1569,,
AMD E2-9000,1641,1876,,
AMD E2-9000e,1343,2015,,
AMD E2-9010,1705,1835,,
AMD E2-9030,1515,1936,,
AMD Embedded G-Series GX-215JJ Radeon R2E,1758,1800,,
AMD Embedded G-Series GX-224IJ Radeon R4E,2088,1652,,
AMD Embedded G-Series GX-420GI Radeon R7E,2508,1488,,
AMD Embedded R-Series RX-216GD,2409,1522,,
AMD Embedded R-Series RX-418GD Radeon R6,5068,833,,
AMD Embedded R-Series RX-421BD,4635,919,,
AMD EPYC 3201,9634,358,,
AMD EPYC 7251 8-Core,11811,241,23.07,$512.00
AMD EPYC 7301,14978,150,17.31,$865.24
AMD EPYC 7351,18081,86,14.8,"$1,221.99"
AMD EPYC 7351P,14887,152,17.25,$862.88
AMD EPYC 7371,22071,35,,
AMD EPYC 7401P,19555,69,18.19,"$1,075.00"
AMD EPYC 7501,18942,75,5.32,"$3,559.56"
AMD EPYC 7551,18483,81,5.19,"$3,559.56"
AMD EPYC 7551P,18406,82,7.94,"$2,317.99"
AMD FirePro A320 APU,4540,943,,
AMD FX-4100 Quad-Core,4070,1033,26.53,$153.45*
AMD FX-4130 Quad-Core,4163,1017,54.79,$75.99*
AMD FX-4150 Quad-Core,4594,929,,
AMD FX-4170 Quad-Core,4864,878,48.65,$99.99*
AMD FX-4200 Quad-Core,4235,1002,18.56,$228.21*
AMD FX-4300 Quad-Core,4694,908,58.71,$79.95
AMD FX-4320,5014,851,,
AMD FX-4330,5321,798,,
AMD FX-4350 Quad-Core,5340,793,12.42,$430.00
AMD FX-6100 Six-Core,5389,783,21.3,$253.00
AMD FX-6120 Six-Core,5733,736,,
AMD FX-6130 Six-Core,6215,685,,
AMD FX-6200 Six-Core,6116,697,17.99,$339.95
AMD FX-6300 Six-Core,6388,669,93.27,$68.49
AMD FX-6330 Six-Core,6916,618,,
AMD FX-6350 Six-Core,7001,607,59.08,$118.51
AMD FX-670K Quad-Core,4550,938,,
AMD FX-7500 APU,3212,1246,,
AMD FX-7600P,4049,1035,,
AMD FX-7600P APU,4627,921,,
AMD FX-770K Quad-Core,4803,890,,
AMD FX-8100 Eight-Core,6008,707,42.31,$142.00*
AMD FX-8120 Eight-Core,6600,649,29.64,$222.73*
AMD FX-8140 Eight-Core,6133,693,,
AMD FX-8150 Eight-Core,7632,549,76.36,$99.95
AMD FX-8300 Eight-Core,7718,538,29.54,$261.24
AMD FX-8310 Eight-Core,7723,536,,
AMD FX-8320 Eight-Core,8016,511,53.8,$149.00
AMD FX-8320E Eight-Core,7550,554,76.28,$98.99
AMD FX-8350 Eight-Core,8951,426,162.78,$54.99
AMD FX-8370 Eight-Core,9036,413,40.26,$224.44
AMD FX-8370E Eight-Core,7808,528,24.39,$320.09
AMD FX-870K Quad Core,5021,848,,
AMD FX-8800P,4147,1021,,
AMD FX-9370 Eight-Core,9443,378,24.75,$381.47
AMD FX-9590 Eight-Core,10191,303,68.17,$149.50
AMD FX-9800P,3961,1058,,
AMD FX-9830P,4772,896,,
AMD FX-B4150 Quad-Core,4611,926,,
AMD G-T40E,467,2514,,
AMD G-T40N,516,2473,,
AMD G-T40R,203,2828,,
AMD G-T44R,229,2802,,
AMD G-T48E,667,2391,,
AMD G-T52R,308,2695,,
AMD G-T56E,751,2350,,
AMD G-T56N,794,2334,,
AMD Geode NX,264,2765,,
AMD Geode NX 1750,291,2721,,
AMD GX-210JA SOC,401,2591,,
AMD GX-212JC SOC,744,2355,,
AMD GX-217GA SOC,1107,2153,,
AMD GX-218GL SOC,1115,2143,,
AMD GX-222GC SOC,1255,2067,,
AMD GX-412HC,1497,1947,,
AMD GX-415GA SOC,1944,1714,,
AMD GX-420CA SOC,2412,1520,,
AMD GX-424CC SOC,2491,1495,,
AMD K7,403,2585,,
AMD Opteron 1210,923,2268,,
AMD Opteron 1210 HE,971,2233,,
AMD Opteron 1212,1009,2206,3.48,$290.00*
AMD Opteron 1212 HE,1308,2031,,
AMD Opteron 1214,1191,2103,4.11,$290.00*
AMD Opteron 1214 HE,1299,2036,,
AMD Opteron 1216,1311,2030,23.91,$54.85*
AMD Opteron 1216 HE,1172,2114,,
AMD Opteron 1218,1468,1957,,
AMD Opteron 1218 HE,1444,1966,,
AMD Opteron 1220,1653,1870,,
AMD Opteron 1222,1757,1802,,
AMD Opteron 1352,2316,1555,17.04,$135.99*
AMD Opteron 1354,2630,1441,19.49,$135.00*
AMD Opteron 1356,2765,1401,30.73,$89.99*
AMD Opteron 1381,3065,1298,,
AMD Opteron 140,396,2597,0.56,$710.00*
AMD Opteron 142,428,2562,,
AMD Opteron 144,486,2496,7.48,$65.00*
AMD Opteron 146,532,2460,8.87,$59.99*
AMD Opteron 148,603,2422,,
AMD Opteron 150,604,2420,,
AMD Opteron 152,658,2393,,
AMD Opteron 154,703,2375,,
AMD Opteron 165,899,2285,1.47,$610.00*
AMD Opteron 170,1097,2156,,
AMD Opteron 175,1167,2118,,
AMD Opteron 180,1233,2080,9.49,$129.95*
AMD Opteron 185,1342,2016,,
AMD Opteron 2212,1270,2059,63.53,$20.00*
AMD Opteron 2214,1358,2007,46.85,$29.00*
AMD Opteron 2214 HE,1415,1980,,
AMD Opteron 2216,1518,1934,61.21,$24.80
AMD Opteron 2218,1594,1903,11.19,$142.45
AMD Opteron 2220,1701,1839,2.24,$758.84*
AMD Opteron 2220 SE,1398,1984,55.92,$25.00*
AMD Opteron 2222,1843,1767,1.11,"$1,664.98*"
AMD Opteron 2224 SE,1919,1727,,
AMD Opteron 2350,2820,1382,10.45,$269.99*
AMD Opteron 2356,2814,1384,54.12,$52.00*
AMD Opteron 2373 EE,2789,1393,,
AMD Opteron 2374 HE,2951,1334,15.53,$189.99*
AMD Opteron 2376,2283,1570,13.69,$166.81*
AMD Opteron 2378,3179,1256,17.76,$179.00*
AMD Opteron 2380,2640,1438,58.69,$45.00
AMD Opteron 2384,3538,1159,4.21,$840.00*
AMD Opteron 2386 SE,3538,1160,,
